tree	n_mdg_tips	n_africa_tips	n_mdg_clades	n_mdg_singletons	pct_mdg_in_clades	total_tree_bl	total_mdg_bl	mdg_pd_fraction	mrca_subtree_fraction	mean_clade_size	mean_stem_bl
HA_B	365	4650	57	110	69.9	5.005193	0.1872	0.0374	1.0	4.47	0.000858
HA_H1N1	219	7154	31	95	56.6	48.062277	0.813956	0.0169	0.8468	4.0	0.007092
HA_H3N2	299	7488	19	66	77.9	40.839679	0.949793	0.0233	0.7175	12.26	0.004921
HA_H6N2	27	37	1	1	96.3	1.071433	0.122174	0.114	0.215	26.0	0.031317
HA_H9N2	51	1217	2	0	100.0	8.727752	0.160203	0.0184	0.7138	25.5	0.024003
NA_B	258	3410	31	93	64.0	3.947919	0.152597	0.0387	1.0	5.32	0.000989
NA_H1N1	172	6101	22	79	54.1	37.445174	0.644753	0.0172	0.8571	4.23	0.009316
NA_H3N2	280	6623	26	93	66.8	18.633062	0.319648	0.0172	0.477	7.19	0.001233
NA_H6N2	28	37	2	0	100.0	0.736149	0.150456	0.2044	0.2919	14.0	0.017877
NA_H9N2	53	815	2	0	100.0	14.020131	0.218286	0.0156	0.0267	26.5	0.021596
